2023-04-21 14:23:16,180 INFO    MainThread:27700 [wandb_setup.py:_flush():76] Configure stats pid to 27700
2023-04-21 14:23:16,182 INFO    MainThread:27700 [wandb_setup.py:_flush():76] Loading settings from C:\Users\brian\.config\wandb\settings
2023-04-21 14:23:16,182 INFO    MainThread:27700 [wandb_setup.py:_flush():76] Loading settings from C:\Users\brian\Documents\project-1-python-team_16\wandb\settings
2023-04-21 14:23:16,182 INFO    MainThread:27700 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-04-21 14:23:16,182 INFO    MainThread:27700 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-04-21 14:23:16,182 INFO    MainThread:27700 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'python\\Brian\\CNN\\Training.py', 'program': 'c:/Users/brian/Documents/project-1-python-team_16/python/Brian/CNN/Training.py'}
2023-04-21 14:23:16,182 INFO    MainThread:27700 [wandb_init.py:_log_setup():507] Logging user logs to C:\Users\brian\Documents\project-1-python-team_16\wandb\run-20230421_142316-lz81fwj6\logs\debug.log
2023-04-21 14:23:16,182 INFO    MainThread:27700 [wandb_init.py:_log_setup():508] Logging internal logs to C:\Users\brian\Documents\project-1-python-team_16\wandb\run-20230421_142316-lz81fwj6\logs\debug-internal.log
2023-04-21 14:23:16,183 INFO    MainThread:27700 [wandb_init.py:init():547] calling init triggers
2023-04-21 14:23:16,183 INFO    MainThread:27700 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.02, 'architecture': 'CNN', 'dataset': 'CIFAR-100', 'epochs': 10}
2023-04-21 14:23:16,184 INFO    MainThread:27700 [wandb_init.py:init():595] starting backend
2023-04-21 14:23:16,184 INFO    MainThread:27700 [wandb_init.py:init():599] setting up manager
2023-04-21 14:23:16,187 INFO    MainThread:27700 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-04-21 14:23:16,193 INFO    MainThread:27700 [wandb_init.py:init():605] backend started and connected
2023-04-21 14:23:16,198 INFO    MainThread:27700 [wandb_init.py:init():695] updated telemetry
2023-04-21 14:23:16,198 INFO    MainThread:27700 [wandb_init.py:init():732] communicating run to backend with 60.0 second timeout
2023-04-21 14:23:16,828 INFO    MainThread:27700 [wandb_run.py:_on_init():2176] communicating current version
2023-04-21 14:23:16,876 INFO    MainThread:27700 [wandb_run.py:_on_init():2185] got version response 
2023-04-21 14:23:16,876 INFO    MainThread:27700 [wandb_init.py:init():782] starting run threads in backend
2023-04-21 14:23:16,950 INFO    MainThread:27700 [wandb_run.py:_console_start():2157] atexit reg
2023-04-21 14:23:16,950 INFO    MainThread:27700 [wandb_run.py:_redirect():2012] redirect: SettingsConsole.WRAP_RAW
2023-04-21 14:23:16,951 INFO    MainThread:27700 [wandb_run.py:_redirect():2077] Wrapping output streams.
2023-04-21 14:23:16,951 INFO    MainThread:27700 [wandb_run.py:_redirect():2102] Redirects installed.
2023-04-21 14:23:16,951 INFO    MainThread:27700 [wandb_init.py:init():824] run started, returning control to user process
2023-04-21 14:24:47,389 WARNING MsgRouterThr:27700 [router.py:message_loop():77] message_loop has been closed
